Year,Area,Season,Production,Extent,Air Temp(Mean),Relative Humidity-D,Relative Humidity-N,Rainfall
1997,Anuradhapura,Maha,67,25,27.88,69.5,94,130.23
1997,Trincomalee,Yala,71,8,,62.75,,92.8
1997,Anuradhapura,Yala,3212,538,29.67,65,89,43.95
1998,Anuradhapura,Maha,90,28,27.88,79,95,203.15
1998,Trincomalee,Yala,9,2,,63.75,,42.2
1998,Anuradhapura,Yala,3643,252,29.38,72.25,91.25,101.15
1999,Anuradhapura,Maha,228,47,27.18,76,95.5,191.73
1999,Trincomalee,Yala,18,3,,59,,21.6
1999,Anuradhapura,Yala,8448,675,28.99,65,87.5,13.15
2000,Hambantota,Maha,1,,27.03,75.5,87.25,135.6
2000,Trincomalee,Maha,10,2,26.7,80.25,,268.63
2000,Trincomalee,Yala,12,2,28.13,59.75,,30.67
2000,Anuradhapura,Yala,8340,669,29.58,61.75,86.25,21.1
2001,Trincomalee,Maha,9,2,27.2,81,86,182.3
2001,Anuradhapura,Maha,217,41,26.8,80,94,110.7
2001,Nuwara Eliya,Yala,,,,82.75,91.5,135.98
2001,Anuradhapura,Yala,5009,445,29.05,67,87,92.28
2001,Ratnapura,Yala,2,,27.63,76.75,91.5,238.83
2002,Trincomalee,Maha,14,2,27.43,77.5,87.25,222.18
2002,Anuradhapura,Maha,217,41,27.23,75.75,94,150.08
2002,Anuradhapura,Yala,6511,582,29.6,65,87,18.15
2003,Jaffna,Maha,12,2,26.43,76.75,,253.78
2003,Anuradhapura,Maha,326,60,26.83,77.75,94,258.15
2003,Badulla,Maha,2,,,70,92,
2003,Jaffna,Yala,1,1,29.65,73.5,,75.83
2003,Anuradhapura,Yala,8123,703,29.45,67.75,88.25,35.18
2004,Jaffna,Maha,24,2,26.58,77,,199.28
2004,Trincomalee,Maha,12,1,27.38,78,87.5,192.08
2004,Anuradhapura,Maha,187,20,27.05,75.5,93.75,127.33
2004,Ratnapura,Maha,1,,27.13,76.25,95.5,207.93
2004,Jaffna,Yala,8,1,29.23,74.5,,108.15
2004,Anuradhapura,Yala,11381,954,29.08,66.75,87.75,36.9
2005,Jaffna,Maha,10,1,26.23,80,,317.38
2005,Anuradhapura,Maha,283,30,26.73,80.5,95.25,202.1
2005,Anuradhapura,Yala,11143,1136,29.7,65.5,87.75,27.35
2006,Jaffna,Maha,56,5,26.28,71,88,331.77
2006,Kururnegala,Maha,90,23,26.23,71,87,133.9
2006,Anuradhapura,Maha,699,74,26.73,78,93.33,252.73
2006,Hambantota,Maha,15,3,27.23,79.33,89.67,191.03
2006,Kururnegala,Yala,1445,225,27.83,72.5,85.25,118.58
2006,Anuradhapura,Yala,10301,981,29.58,63.5,86.75,77.5
2006,Puttalam,Yala,161,10,28.93,77.5,88.75,24.38
2007,Jaffna,Maha,65,9,26.85,74,,218.77
2007,Puttalam,Maha,3,1,26.65,78,94.5,224.08
